NC Object Id,Promo name,Billing Offer Id,Status,OPTIK TV Tax Included Offer,Promo Categories,,,
9160132136213290724,Retention 2.0: HS Credit 24 MO - $20,40775571,Active,N,Discounts,,,
9164775623582855279,Retention 2.0: HS Credit 24 MO - $20,40775571,Active,N,[NULL],,,
9164777176642235035,Retention 2.0: HS Credit 24 MO - $20,40775571,Active,N,[NULL],,,
9159598116113792079,Retention 2.0: HS Credit 24 MO - $5,40761321,Active,N,Discounts,,,
9159598242213794784,Retention 2.0: HS Credit 24 MO - $5,40761321,Active,N,Discounts,,,
9159600003913820374,Retention 2.0: HS Credit 24 MO - $5,40761321,Active,N,Discounts,,,
9159606107713847040,Retention 2.0: HS Credit 24 MO - $5,40761321,Active,N,Discounts,,,
9160005338613179617,Retention 2.0: HS Credit 24 MO - $5,40761321,Active,N,Discounts,,,
9160005340313179820,Retention 2.0: HS Credit 24 MO - $5,40761321,Active,N,Discounts,,,
9160005341013179867,Retention 2.0: HS Credit 24 MO - $5,40761321,Active,N,Discounts,,,
9160131828513290228,Retention 2.0: HS Credit 24 MO - $5,40761321,Active,N,Discounts,,,
9160131976913290427,Retention 2.0: HS Credit 24 MO - $5,40761321,Active,N,Discounts,,,
9160132136213290712,Retention 2.0: HS Credit 24 MO - $5,40761321,Active,N,Discounts,,,
9162860975488813664,Retention 2.0: HS Credit 24 MO - $5,40761321,Active,N,[NULL],,,
9164432620584732480,Retention 2.0: HS Credit 24 MO - $5,40761321,Active,N,Discounts,,,
9164776545159693290,Retention 2.0: HS Credit 24 MO - $5,40761321,Active,N,[NULL],,,
9164782618281693310,Retention 2.0: HS Credit 24 MO - $5,40761321,Active,N,[NULL],,,
9159820245013566425,Retention 2.0: Mobile and Home 1GB Mobility Data - SL - 24 mo,40794711,Active,N,Discounts,,,
9155858551613926361,Retention 2.0: Pik TV 24 MO Credit - $5,40875971,Active,Y,[NULL],,,
9155856897013923176,Retention 2.0: Pik TV 6 MO Credit - $5,40881751,Active,Y,[NULL],,,
9159350119513208151,Retention 2.0: TELUS Online Security Complete 12MO Credit - $5,41127281,Active,N,"Discounts,All Other Discounts",,,
9159350119713208156,Retention 2.0: TELUS Online Security Complete 24MO Credit - $5,41127311,Active,N,"Discounts,All Other Discounts",,,
9159633598313566669,Retention 2.0: TELUS Online Security Complete 6MO Credit - $5,41131961,Active,N,Discounts,,,
9159350067213208141,Retention 2.0: TELUS Online Security Standard 12MO Credit - $4,41127271,Active,N,"Discounts,All Other Discounts",,,
9159350119313208146,Retention 2.0: TELUS Online Security Standard 24MO Credit - $4,41127301,Active,N,"Discounts,All Other Discounts",,,
9159633598113566664,Retention 2.0: TELUS Online Security Standard 6MO Credit - $4,41131951,Active,N,Discounts,,,
9159350119913208161,Retention 2.0: TELUS Online Security Ultimate 12MO Credit - $10,41127291,Active,N,"Discounts,All Other Discounts",,,
9159350120013208166,Retention 2.0: TELUS Online Security Ultimate 24MO Credit - $10,41127321,Active,N,"Discounts,All Other Discounts",,,
9159633598513566674,Retention 2.0: TELUS Online Security Ultimate 6MO Credit - $10,41131971,Active,N,Discounts,,,
9159598242113794638,Retention 2.0: TTV Credit 24 MO - $10,40760871,Active,Y,Discounts,,,
9159600232613820810,Retention 2.0: TTV Credit 24 MO - $10,40760871,Active,Y,Discounts,,,
9159600431313822841,Retention 2.0: TTV Credit 24 MO - $10,40760871,Active,Y,Discounts,,,
9159606108013847114,Retention 2.0: TTV Credit 24 MO - $10,40760871,Active,Y,Discounts,,,
9163428896759709590,Retention 2.0: TTV Credit 24 MO - $10,40760871,Active,Y,Discounts,,,
9163428944029442748,Retention 2.0: TTV Credit 24 MO - $10,40760871,Active,Y,Discounts,,,
9163428987712517612,Retention 2.0: TTV Credit 24 MO - $10,40760871,Active,Y,Discounts,,,
9163429024800442749,Retention 2.0: TTV Credit 24 MO - $10,40760871,Active,Y,Discounts,,,
9164610982404174861,Retention 2.0: TTV Credit 24 MO - $10,40760871,Active,Y,[NULL],,,
9164777106809855309,Retention 2.0: TTV Credit 24 MO - $10,40760871,Active,Y,[NULL],,,
9164777281181855310,Retention 2.0: TTV Credit 24 MO - $10,40760871,Active,Y,[NULL],,,
9162861745797619725,Retention 2.0: TTV Credit 24 MO - $3,41133461,Active,Y,[NULL],,,
9162727544363155265,Retention 2.0: TTV Credit 24 MO - $3 (v1),41180221,Active,Y,[NULL],,,
9159600431513822943,Retention 2.0: TTV Credit 24 MO - $5,40760821,Active,Y,Value Based Stackability Discounts,,,
9159606108113847170,Retention 2.0: TTV Credit 24 MO - $5,40760821,Active,Y,Value Based Stackability Discounts,,,
